load_id,date,fold,equipment,distance,actual_rate,lightgbm_prediction,catboost_prediction,ensemble_prediction,absolute_error
TR-033719,2025-08-01,august,Dry Van,366.2,867.62,876.7205326059928,875.8522547169925,876.2863936614926,8.666393661492634
TR-033720,2025-08-01,august,Flatbed,777.4,1789.0,1748.3245504804802,1702.8599306582491,1725.5922405693643,63.40775943063545
TR-033721,2025-08-01,august,Dry Van,1170.2,2403.16,2425.5896538394027,2361.1483421955936,2393.368998017498,9.791001982501712
TR-033722,2025-08-01,august,Dry Van,2634.1,4722.42,4911.94836763118,4813.033976301793,4862.491171966487,140.07117196648687
TR-033723,2025-08-01,august,Dry Van,108.2,276.48,282.5445188880354,258.77397283887035,270.65924586345284,5.82075413654718
TR-033724,2025-08-01,august,Reefer,502.5,1243.65,1219.993811322952,1229.9764041479898,1224.985107735471,18.664892264529044
TR-033725,2025-08-01,august,Reefer,742.0,1664.84,1676.2131611825398,1672.353464589552,1674.283312886046,9.443312886045987
TR-033726,2025-08-01,august,Dry Van,570.0,1286.77,1285.6350968299143,1295.234158214405,1290.4346275221596,3.6646275221596634
TR-033727,2025-08-01,august,Dry Van,1917.0,3475.19,3516.421900481602,3493.4036767964344,3504.912788639018,29.72278863901784
TR-033728,2025-08-01,august,Dry Van,2080.9,4007.13,4049.932714867952,4039.3374913253824,4044.635103096667,37.50510309666697
TR-033729,2025-08-01,august,Reefer,1124.0,2507.97,2482.247451888726,2487.3667302252893,2484.807091057008,23.16290894299209
TR-033730,2025-08-01,august,Reefer,327.4,917.05,888.1458010342901,933.3314874749516,910.7386442546208,6.31135574537916
TR-033731,2025-08-01,august,Dry Van,1916.0,3562.11,3620.021639839028,3631.9350893403994,3625.978364589713,63.86836458971311
TR-033732,2025-08-01,august,Flatbed,979.2,2197.15,2180.173829612336,2192.176327428607,2186.1750785204717,10.974921479528804
TR-033733,2025-08-01,august,Flatbed,270.4,747.57,722.3678813945445,747.2503462760308,734.8091138352877,12.76088616471236
TR-033734,2025-08-01,august,Reefer,1148.6,2511.03,2547.592144579715,2549.8346884619427,2548.713416520829,37.683416520828814
TR-033735,2025-08-01,august,Reefer,396.2,1092.22,1051.158921071107,1079.9926903185287,1065.575805694818,26.64419430518205
TR-033736,2025-08-01,august,Dry Van,638.0,1331.9,1322.2155948858451,1308.7455542725788,1315.480574579212,16.41942542078823
TR-033737,2025-08-01,august,Dry Van,1969.6,3634.84,3693.5358444897374,3751.362887778067,3722.449366133902,87.60936613390186
TR-033738,2025-08-01,august,Dry Van,260.0,606.35,598.2724528522481,605.1608162019611,601.7166345271046,4.633365472895434
