load_id,date,fold,equipment,distance,actual_rate,lightgbm_prediction,catboost_prediction,ensemble_prediction,absolute_error
TR-033719,2025-08-01,august,Dry Van,366.2,867.62,877.885747677736,877.3421745531507,877.6139611154433,9.993961115443312
TR-033720,2025-08-01,august,Flatbed,777.4,1789.0,1749.8425688642626,1755.2959728960632,1752.569270880163,36.430729119837
TR-033721,2025-08-01,august,Dry Van,1170.2,2403.16,2378.915316075819,2391.126416514404,2385.020866295112,18.13913370488808
TR-033722,2025-08-01,august,Dry Van,2634.1,4722.42,4826.236641817991,4891.929582718262,4859.083112268127,136.6631122681265
TR-033723,2025-08-01,august,Dry Van,108.2,276.48,272.78949417908603,344.5256695365413,308.6575818578136,32.17758185781361
TR-033724,2025-08-01,august,Reefer,502.5,1243.65,1198.2490895478306,1234.0772460345215,1216.163167791176,27.48683220882413
TR-033725,2025-08-01,august,Reefer,742.0,1664.84,1713.7269849104232,1673.7897397207898,1693.7583623156063,28.9183623156066
TR-033726,2025-08-01,august,Dry Van,570.0,1286.77,1251.1535032413094,1278.3173328035657,1264.7354180224374,22.03458197756254
TR-033727,2025-08-01,august,Dry Van,1917.0,3475.19,3455.8437997183387,3491.440206507817,3473.6420031130783,1.547996886921737
TR-033728,2025-08-01,august,Dry Van,2080.9,4007.13,4095.9433336123006,4102.768799556454,4099.356066584377,92.2260665843769
TR-033729,2025-08-01,august,Reefer,1124.0,2507.97,2527.631884636297,2362.283221192407,2444.957552914352,63.01244708564764
TR-033730,2025-08-01,august,Reefer,327.4,917.05,862.1130849340616,925.9823997057232,894.0477423198923,23.00225768010762
TR-033731,2025-08-01,august,Dry Van,1916.0,3562.11,3598.712411596905,3733.4816057497214,3666.097008673313,103.98700867331308
TR-033732,2025-08-01,august,Flatbed,979.2,2197.15,2188.783906796278,2108.633975338825,2148.708941067552,48.44105893244841
TR-033733,2025-08-01,august,Flatbed,270.4,747.57,689.4149295425002,757.4668106230458,723.440870082773,24.129129917227036
TR-033734,2025-08-01,august,Reefer,1148.6,2511.03,2617.813768470381,2562.27924037632,2590.0465044233506,79.0165044233504
TR-033735,2025-08-01,august,Reefer,396.2,1092.22,1008.7464564176544,1067.106406370011,1037.926431393833,54.29356860616736
TR-033736,2025-08-01,august,Dry Van,638.0,1331.9,1305.5571494442158,1311.3003042730556,1308.428726858636,23.47127314136424
TR-033737,2025-08-01,august,Dry Van,1969.6,3634.84,3830.923227647505,3782.9948495475737,3806.9590385975393,172.1190385975392
TR-033738,2025-08-01,august,Dry Van,260.0,606.35,606.9814029687824,614.1903816375163,610.5858923031494,4.235892303149399
TR-033739,2025-08-01,august,Dry Van,2071.8,3822.64,4066.057888447181,4034.4395800143207,4050.248734230751,227.608734230751
TR-033740,2025-08-01,august,Dry Van,336.7,830.35,790.5614410432701,832.470521449354,811.5159812463121,18.83401875368793
TR-033741,2025-08-01,august,Dry Van,1414.8,2525.75,2762.2113088033934,2731.1916932419567,2746.701501022675,220.95150102267507
TR-033742,2025-08-01,august,Flatbed,1627.7,3472.54,3382.4598626204324,3425.891496484075,3404.1756795522538,68.3643204477462
TR-033743,2025-08-01,august,Dry Van,1054.8,2215.04,2250.829384548404,2261.1947097199527,2256.012047134178,40.97204713417796
TR-033744,2025-08-01,august,Reefer,2020.4,4279.06,4127.887382653914,4333.262732147146,4230.575057400531,48.48494259946983
TR-033745,2025-08-01,august,Reefer,434.7,1096.66,1087.4171933898224,1097.7565971478346,1092.5868952688284,4.073104731171725
TR-033746,2025-08-01,august,Dry Van,1047.5,2040.66,2043.996833903449,2090.1082374383527,2067.052535670901,26.39253567090077
TR-033747,2025-08-01,august,Dry Van,269.8,664.74,656.7022313107661,647.8757184451108,652.2889748779385,12.451025122061536
TR-033748,2025-08-01,august,Reefer,246.1,662.76,646.066886880759,666.8181510117763,656.4425189462677,6.317481053732308
TR-033749,2025-08-01,august,Flatbed,931.3,2008.68,2068.0335718792026,2080.235867400338,2074.13471963977,65.45471963977002
TR-033750,2025-08-01,august,Dry Van,1152.7,2234.64,2146.097081202008,2149.5265382201874,2147.811809711098,86.82819028890208
TR-033751,2025-08-01,august,Dry Van,1329.6,2537.62,2630.947692661284,2644.133461125321,2637.540576893303,99.92057689330296
TR-033752,2025-08-01,august,Reefer,1906.2,4258.1,4180.697904318713,4193.76732044631,4187.232612382511,70.86738761748893
TR-033753,2025-08-01,august,Dry Van,1267.7,2474.08,2408.0487982944924,2517.177354305947,2462.61307630022,11.466923699780182
TR-033754,2025-08-01,august,Dry Van,809.3,1809.03,1731.4255638613377,1796.6274073387272,1764.0264856000324,45.00351439996757
TR-033755,2025-08-01,august,Reefer,1867.8,3799.11,3801.758014642857,3950.809680685869,3876.2838476643633,77.17384766436317
TR-033756,2025-08-01,august,Dry Van,412.2,856.65,901.764298423944,874.7888548455437,888.2765766347438,31.626576634743856
TR-033757,2025-08-01,august,Dry Van,1048.2,2136.44,2103.7111356706578,2055.98905746222,2079.850096566439,56.589903433561176
TR-033758,2025-08-01,august,Dry Van,2119.4,3853.87,3844.33712019918,3954.6138735184168,3899.475496858798,45.60549685879823
TR-033759,2025-08-01,august,Dry Van,468.6,1090.79,1083.6826038791835,1077.0907024004982,1080.386653139841,10.40334686015899
TR-033760,2025-08-01,august,Reefer,2624.9,5143.64,5307.023684840611,5199.5477495860005,5253.285717213306,109.64571721330594
TR-033761,2025-08-01,august,Reefer,1903.8,3967.88,3990.0715190174255,3978.655153639971,3984.363336328698,16.483336328697987
TR-033762,2025-08-01,august,Reefer,887.5,2142.51,1991.865251005572,1957.87493852534,1974.870094765456,167.63990523454413
TR-033763,2025-08-01,august,Flatbed,1430.1,3074.49,3050.43967606686,3081.5481092304167,3065.9938926486384,8.496107351361388
TR-033764,2025-08-01,august,Reefer,1070.2,2482.57,2412.908520934116,2384.891254019968,2398.8998874770414,83.67011252295879
TR-033765,2025-08-01,august,Dry Van,277.7,631.13,645.3151220111038,636.4908674184755,640.9029947147897,9.77299471478966
TR-033766,2025-08-01,august,Reefer,1808.8,4026.23,3948.672695480231,3980.3325243309664,3964.502609905599,61.72739009440147
TR-033767,2025-08-01,august,Dry Van,430.9,941.46,945.066231188792,958.353590586695,951.7099108877436,10.249910887743454
TR-033768,2025-08-01,august,Dry Van,726.9,1457.24,1544.661912136263,1561.1818305729976,1552.9218713546302,95.68187135463018
TR-033769,2025-08-01,august,Dry Van,1010.4,2057.39,2035.025250459616,2021.5601014525275,2028.292675956072,29.09732404392821
TR-033770,2025-08-01,august,Reefer,265.3,236.48,664.2864307088336,715.3924161301288,689.8394234194811,453.3594234194811
TR-033771,2025-08-01,august,Dry Van,363.6,784.35,792.2703813794514,764.0107249025718,778.1405531410117,6.209446858988372
TR-033772,2025-08-01,august,Dry Van,811.0,1659.97,1636.9812215983166,1657.5918980906904,1647.2865598445037,12.683440155496555
TR-033773,2025-08-01,august,Dry Van,998.4,1971.17,1964.9120151140155,1986.726644999372,1975.8193300566936,4.649330056693543
TR-033774,2025-08-01,august,Dry Van,711.5,1442.58,1397.833094751163,1428.4770802317505,1413.1550874914567,29.42491250854323
TR-033775,2025-08-01,august,Dry Van,1329.3,2610.45,2689.9268230489133,2622.624208399816,2656.2755157243646,45.82551572436478
TR-033776,2025-08-01,august,Flatbed,2256.5,4334.24,4532.160307176638,4461.444027015086,4496.802167095862,162.5621670958626
TR-033777,2025-08-01,august,Dry Van,2109.6,4004.31,4005.2405543817736,3982.700120652596,3993.970337517185,10.339662482815127
TR-033778,2025-08-01,august,Reefer,1419.6,3317.04,3295.2643667371067,3191.485095990414,3243.3747313637605,73.66526863623949
TR-033779,2025-08-01,august,Dry Van,1382.7,2746.34,2680.4114811884047,2758.5133404225235,2719.462410805464,26.877589194536085
TR-033780,2025-08-01,august,Reefer,615.2,1575.68,1516.4561020737603,1511.2901749487137,1513.873138511237,61.80686148876316
TR-033781,2025-08-01,august,Reefer,1638.6,3699.41,3644.435132650094,3677.8036197153806,3661.119376182737,38.29062381726271
TR-033782,2025-08-01,august,Reefer,475.0,1220.53,1220.0821960933267,1200.4437592233248,1210.2629776583258,10.267022341674192
TR-033783,2025-08-01,august,Dry Van,1446.8,2808.81,2833.098028319691,2759.094875248025,2796.096451783858,12.713548216142044
TR-033784,2025-08-01,august,Reefer,278.6,780.13,728.3827085512489,749.4010224335984,738.8918654924237,41.23813450757632
TR-033785,2025-08-01,august,Dry Van,625.9,1304.64,1332.3846568456925,1338.7237823747616,1335.554219610227,30.91421961022684
